id,carat,cut,color,clarity,depth,table,x,y,z,price
87,0.56,Ideal,G,VS2,60.7,55.0,5.32,5.35,3.24,7.416
88,0.9,Ideal,D,SI2,60.8,56.0,6.26,6.24,3.8,8.335
89,1.24,Ideal,I,VS2,62.4,57.0,6.82,6.9,4.28,8.637
90,1.31,Premium,E,SI2,61.2,60.0,7.02,6.93,4.27,8.552
91,1.01,Ideal,E,VVS1,62.0,57.0,6.45,6.39,3.98,9.32
92,1.03,Fair,H,SI2,66.3,57.0,6.35,6.25,4.18,8.229
93,1.01,Premium,G,VS2,62.4,59.0,6.45,6.41,4.01,8.663
94,0.53,Ideal,G,SI2,61.6,55.0,5.2,5.25,3.22,7.066
95,0.3,Ideal,J,VS1,59.7,57.0,4.37,4.4,2.62,5.976
96,1.0,Premium,D,SI1,62.2,58.0,6.45,6.34,3.98,8.652
97,1.01,Good,G,VVS2,58.2,55.0,6.65,6.68,3.88,8.896
98,0.92,Premium,E,SI2,61.7,59.0,6.18,6.27,3.84,8.297
99,0.27,Premium,F,IF,61.7,57.0,4.21,4.12,2.57,6.709
100,1.0,Good,H,SI1,63.8,53.0,6.39,6.27,4.04,8.433
101,1.0,Good,E,SI2,61.0,61.0,6.37,6.44,3.91,8.388
102,1.59,Ideal,J,SI1,61.3,57.0,7.43,7.52,4.58,8.98
103,1.33,Premium,H,VS2,62.6,58.0,7.07,7.01,4.41,8.98
104,1.51,Very Good,H,VS2,63.1,57.0,7.24,7.21,4.56,9.014
105,1.14,Ideal,H,SI1,62.2,54.0,6.69,6.74,4.18,8.659
106,0.52,Good,G,SI1,63.3,57.0,5.08,5.11,3.22,7.126
107,0.8,Ideal,F,VS1,61.2,56.0,6.01,5.98,3.67,8.241
108,1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,8.546
109,0.53,Good,H,IF,61.2,65.0,5.16,5.27,3.19,7.272
110,0.6,Very Good,I,VS2,60.6,60.0,5.46,5.49,3.32,7.246
111,0.32,Ideal,E,VS2,62.0,57.0,4.41,4.37,2.72,6.802
112,0.7,Ideal,E,SI1,62.0,56.0,5.68,5.7,3.53,7.989
113,1.0,Very Good,D,VS2,61.2,60.0,6.4,6.42,3.92,8.845
114,0.33,Ideal,E,VVS1,61.7,56.0,4.46,4.48,2.76,6.892
115,0.31,Ideal,H,VVS1,61.6,57.0,4.32,4.35,2.67,6.492
116,0.34,Ideal,D,VS1,61.4,57.0,4.49,4.54,2.77,6.659
117,0.7,Very Good,F,SI1,59.8,59.0,5.74,5.8,3.45,7.784
118,0.23,Good,E,VVS1,56.3,62.0,4.1,4.11,2.31,6.211
119,0.31,Very Good,E,VVS2,61.1,55.0,4.39,4.41,2.69,6.641
120,1.01,Ideal,E,SI1,61.8,57.0,6.39,6.49,3.98,8.568
121,0.67,Premium,F,VS2,62.5,59.0,5.58,5.53,3.47,7.701
122,0.31,Ideal,D,VS1,61.6,55.0,4.37,4.4,2.7,6.641
123,0.41,Good,D,SI1,63.8,56.0,4.68,4.72,3.0,6.604
124,0.28,Ideal,F,IF,62.4,55.0,4.2,4.17,2.61,6.719
125,1.04,Ideal,G,VS2,60.7,56.0,6.59,6.54,3.99,8.911
126,2.3,Ideal,G,SI2,61.6,57.0,8.47,8.41,5.2,9.644
127,0.78,Premium,E,VS2,62.8,60.0,5.86,5.79,3.66,8.159
128,0.53,Very Good,F,SI1,59.2,59.0,5.31,5.34,3.15,7.158
129,0.35,Ideal,F,VS2,61.5,57.0,4.52,4.56,2.79,6.56
130,0.73,Ideal,H,VS2,62.0,54.0,5.79,5.83,3.6,7.857
131,1.54,Very Good,J,VS1,63.5,57.0,7.27,7.37,4.65,9.136
132,0.38,Ideal,G,VVS2,62.2,54.3,4.63,4.66,2.89,6.834
133,0.5,Premium,G,SI2,58.6,61.0,5.21,5.16,3.04,6.983
134,0.31,Very Good,G,SI1,61.7,55.0,4.37,4.38,2.7,6.136
135,0.53,Very Good,D,VS1,59.4,59.0,5.25,5.32,3.14,7.553
136,0.73,Premium,E,VS2,62.5,61.0,5.78,5.64,3.59,7.959
137,1.1,Ideal,F,VS1,61.5,55.0,6.69,6.64,4.1,9.082
138,0.5,Ideal,F,VS2,60.9,57.0,5.14,5.16,3.14,7.467
139,0.59,Ideal,I,VVS1,61.6,55.0,5.4,5.45,3.34,7.437
140,0.73,Premium,F,VS2,58.7,57.0,5.97,5.92,3.49,7.966
141,1.52,Fair,H,SI1,64.6,55.0,7.24,7.19,4.66,8.914
142,0.4,Premium,D,SI1,61.3,60.0,4.75,4.71,2.9,6.898
143,1.15,Premium,H,SI2,60.4,58.0,6.8,6.75,4.09,8.077
144,0.39,Ideal,E,VVS2,61.9,55.0,4.7,4.73,2.92,6.941
145,0.32,Good,E,SI1,63.1,56.0,4.34,4.37,2.75,6.261
146,1.03,Very Good,G,SI2,63.0,60.0,6.35,6.39,4.01,8.231
147,0.7,Good,E,SI1,63.5,59.0,5.49,5.53,3.5,7.942
148,0.7,Good,G,SI1,63.9,58.0,5.57,5.51,3.54,7.704
149,0.3,Ideal,H,VVS2,61.2,57.0,4.32,4.31,2.64,6.654
150,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,9.492
151,1.13,Ideal,I,SI2,61.4,56.0,6.69,6.71,4.12,8.408
152,1.08,Ideal,H,SI1,61.8,54.0,6.6,6.61,4.09,8.616
153,1.52,Ideal,H,SI2,62.3,56.0,7.34,7.24,4.54,8.908
154,0.84,Fair,D,SI2,64.5,60.0,5.92,5.84,3.79,7.681
155,0.92,Good,E,SI1,63.2,58.0,6.16,6.18,3.9,8.357
156,2.16,Ideal,F,I1,61.0,57.0,8.4,8.32,5.1,9.109
157,1.01,Premium,H,SI1,62.6,61.0,6.39,6.36,3.99,8.457
158,2.0,Very Good,H,SI1,60.1,61.0,8.1,8.13,4.88,9.67
159,1.13,Ideal,H,VS2,62.0,57.0,6.7,6.66,4.14,8.68
160,0.71,Premium,D,VS2,61.2,59.0,5.69,5.74,3.5,7.963
161,0.61,Ideal,D,VS2,61.6,56.0,5.46,5.49,3.37,7.768
162,0.41,Good,I,SI1,63.8,57.0,4.7,4.67,2.99,6.664
163,0.41,Ideal,D,VS2,62.4,54.0,4.78,4.74,2.97,6.981
164,0.42,Very Good,D,VVS1,62.8,56.0,4.76,4.8,3.0,7.344
165,1.29,Very Good,D,SI2,61.9,58.0,6.99,7.03,4.34,8.72
166,0.34,Ideal,H,VS2,60.5,56.0,4.54,4.58,2.76,6.286
167,1.57,Very Good,H,SI2,58.6,62.0,7.71,7.64,4.5,9.113
168,0.3,Premium,D,SI2,62.3,58.0,4.29,4.32,2.68,6.103
169,0.72,Fair,F,VS2,55.4,64.0,6.06,5.97,3.34,7.91
170,0.32,Premium,E,SI2,59.7,60.0,4.43,4.45,2.65,6.107
171,1.27,Premium,G,SI2,62.4,56.0,6.93,6.88,4.32,8.379
172,0.32,Premium,G,VVS2,62.0,55.0,4.42,4.39,2.73,6.842
173,0.44,Ideal,G,VVS1,61.8,55.0,4.91,4.86,3.02,7.165
174,0.31,Very Good,H,VS1,63.1,57.0,4.34,4.31,2.73,6.548
175,0.31,Premium,F,VS2,61.4,58.0,4.4,4.36,2.69,6.687
176,0.55,Ideal,E,SI1,62.1,55.0,5.21,5.26,3.25,7.347
177,0.37,Ideal,E,VS2,61.5,56.0,4.62,4.59,2.83,6.948
178,1.34,Very Good,D,SI2,62.3,59.0,6.99,7.03,4.37,8.886
179,0.91,Ideal,E,SI1,60.8,57.0,6.27,6.29,3.82,8.396
180,0.71,Premium,G,SI1,58.9,62.0,5.92,5.83,3.46,7.804
181,1.06,Ideal,H,SI2,62.5,57.1,6.46,6.5,4.05,8.482
182,0.47,Ideal,D,VVS1,62.0,54.0,4.99,5.01,3.1,7.808
183,1.07,Premium,G,VS2,62.5,57.0,6.58,6.5,4.09,8.801
184,0.71,Premium,D,VS1,61.6,58.0,5.78,5.72,3.54,8.155
185,0.31,Very Good,F,VVS1,61.4,56.0,4.37,4.4,2.69,6.756
186,0.33,Ideal,H,SI1,63.0,57.0,4.41,4.39,2.77,6.413
187,0.53,Very Good,G,VS1,63.4,56.0,5.15,5.1,3.25,7.454
188,0.3,Premium,G,VS1,61.3,58.0,4.29,4.33,2.64,6.405
189,0.3,Ideal,E,VVS1,61.6,56.0,4.31,4.32,2.66,6.731
190,1.02,Premium,G,SI2,61.7,58.0,6.46,6.41,3.97,8.015
191,1.13,Very Good,G,VS1,60.7,57.0,6.68,6.72,4.07,8.964
192,0.59,Ideal,E,VS2,60.2,61.0,5.43,5.47,3.28,7.571
193,0.73,Ideal,F,VS2,62.7,53.0,5.8,5.75,3.62,7.924
194,0.32,Ideal,G,VS1,60.7,56.0,4.43,4.46,2.7,6.4
195,0.31,Ideal,D,VS2,61.3,57.0,4.36,4.41,2.69,6.431
196,0.25,Very Good,G,VVS1,63.7,54.0,3.98,4.03,2.55,6.111
197,2.3,Premium,H,SI2,62.7,56.0,8.46,8.42,5.29,9.68
198,0.53,Ideal,G,VS2,60.4,57.0,5.27,5.23,3.17,7.382
199,1.52,Ideal,E,SI1,62.0,56.0,7.36,7.34,4.56,9.466
200,0.3,Very Good,D,VS2,62.5,59.0,4.23,4.28,2.66,6.565
201,0.33,Premium,I,SI1,62.8,58.0,4.43,4.39,2.77,6.349
202,0.31,Ideal,E,VVS1,61.7,56.0,4.38,4.41,2.71,6.791
203,1.06,Very Good,E,IF,62.7,58.0,6.48,6.54,4.08,9.352
204,0.32,Premium,H,VVS1,60.9,58.0,4.4,4.43,2.69,6.593
205,0.37,Ideal,F,VS1,61.7,56.0,4.63,4.61,2.85,6.948
206,1.06,Very Good,I,SI1,62.8,56.0,6.47,6.52,4.08,8.356
207,0.81,Premium,G,SI2,62.5,57.0,5.95,5.89,3.7,7.83
208,0.52,Ideal,F,VS1,61.3,56.0,5.19,5.22,3.19,7.661
209,1.0,Good,J,SI1,63.9,60.0,6.26,6.19,3.98,8.21
210,0.39,Ideal,F,VVS2,62.0,54.0,4.7,4.72,2.92,6.896
211,0.36,Ideal,I,VS2,61.8,55.0,4.58,4.61,2.84,6.225
212,0.32,Ideal,E,VVS1,62.2,55.0,4.41,4.37,2.73,6.967
213,1.06,Very Good,I,VS1,58.5,58.3,6.66,6.79,3.94,8.574
214,0.56,Ideal,F,VS2,61.6,55.0,5.29,5.32,3.27,7.452
215,0.24,Very Good,E,VVS2,63.6,54.0,3.96,4.0,2.53,6.184
216,1.25,Ideal,J,VS1,61.2,56.0,6.93,6.95,4.25,8.824
217,0.38,Very Good,D,VVS2,61.9,56.0,4.63,4.65,2.87,7.09
218,1.01,Very Good,G,VVS2,63.3,57.0,6.29,6.36,4.01,8.85
219,0.7,Good,H,SI1,63.8,58.0,5.66,5.59,3.59,7.685
220,0.42,Ideal,G,VVS1,61.2,57.0,4.78,4.82,2.94,7.072
221,0.39,Premium,E,VS1,59.6,60.0,4.75,4.72,2.82,7.0
222,0.33,Premium,E,VS2,61.1,59.0,4.49,4.45,2.73,6.833
223,1.51,Ideal,G,IF,61.7,55.0,7.37,7.41,4.56,9.842
224,0.4,Ideal,F,VVS2,61.7,56.0,4.74,4.72,2.92,7.059
225,0.41,Ideal,E,VVS2,61.8,57.0,4.75,4.8,2.95,7.079
226,0.41,Premium,E,VS1,60.0,58.0,4.83,4.8,2.89,7.05
227,1.02,Premium,G,SI1,61.0,59.0,6.48,6.44,3.94,8.459
228,0.24,Good,E,VVS1,60.8,64.0,3.97,3.99,2.42,6.198
229,0.39,Ideal,F,VVS2,61.7,56.0,4.7,4.73,2.91,6.896
230,1.23,Ideal,H,SI1,62.3,58.0,6.85,6.89,4.28,8.897
231,1.7,Ideal,J,VS2,62.2,56.0,7.64,7.61,4.74,9.135
232,1.5,Premium,F,SI2,62.4,58.0,7.31,7.24,4.54,8.862
233,1.06,Very Good,G,SI1,63.4,58.0,6.44,6.47,4.09,8.549
234,0.3,Good,G,SI1,63.2,55.0,4.26,4.29,2.7,6.033
235,0.36,Very Good,D,SI1,62.8,57.0,4.51,4.54,2.84,6.428
236,0.3,Ideal,H,VVS1,61.9,55.0,4.34,4.32,2.68,6.778
237,2.01,Premium,F,SI1,59.5,58.0,8.21,8.18,4.88,9.582
238,0.38,Premium,I,VS1,61.3,60.0,4.65,4.62,2.84,6.8
239,1.01,Good,E,SI1,64.3,59.0,6.31,6.28,4.05,8.338
240,0.37,Premium,F,SI1,60.3,58.0,4.66,4.62,2.8,6.673
241,1.89,Ideal,H,VS1,61.6,56.0,7.92,7.95,4.89,9.773
242,0.75,Very Good,H,SI2,63.0,58.0,5.76,5.79,3.64,7.687
243,0.9,Premium,F,VS2,62.7,54.0,6.13,6.11,3.84,8.35
244,0.36,Ideal,G,VVS2,61.6,57.0,4.58,4.62,2.83,6.654
245,2.19,Premium,E,SI2,62.4,61.0,8.31,8.23,5.16,9.811
246,0.33,Premium,H,IF,62.0,58.0,4.42,4.39,2.73,7.016
247,0.27,Ideal,E,VVS2,62.2,55.0,4.12,4.17,2.58,6.433
248,1.02,Premium,H,SI1,59.1,60.0,6.59,6.54,3.88,8.303
249,0.36,Ideal,E,VS1,61.6,57.0,4.58,4.54,2.81,6.998
250,1.32,Ideal,G,VS2,61.1,57.0,7.13,7.07,4.34,9.167
251,0.32,Ideal,I,IF,60.8,54.0,4.44,4.47,2.71,6.512
252,0.47,Fair,E,SI1,67.9,56.0,4.84,4.65,3.24,6.72
253,0.3,Premium,F,SI2,61.7,62.0,4.27,4.25,2.63,6.227
254,0.3,Good,G,VS2,63.9,55.0,4.27,4.28,2.73,6.265
255,0.9,Fair,D,SI2,65.7,60.0,5.98,5.93,3.91,8.072
256,0.33,Ideal,H,VS2,60.7,57.0,4.48,4.45,2.71,6.504
257,1.0,Very Good,H,VVS1,63.5,60.0,6.36,6.3,4.02,8.748
258,0.23,Very Good,E,VVS2,62.7,59.0,3.93,3.95,2.47,6.142
259,0.3,Very Good,E,VS2,62.6,58.0,4.25,4.28,2.67,6.489
260,0.35,Ideal,E,VVS1,61.9,56.0,4.53,4.55,2.81,6.808
261,0.56,Premium,E,VS2,61.4,61.0,5.31,5.28,3.25,7.557
262,1.23,Ideal,G,VS1,62.0,57.0,6.83,6.87,4.25,9.197
263,0.88,Premium,F,VS1,60.7,55.0,6.28,6.22,3.79,8.274
264,1.26,Ideal,G,VVS1,61.1,57.0,7.02,6.98,4.28,9.286
265,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,8.604
266,1.21,Premium,F,SI1,60.0,60.0,6.96,6.91,4.16,8.804
267,0.56,Very Good,D,SI1,63.0,58.0,5.21,5.24,3.29,7.465
268,0.38,Very Good,F,SI2,61.2,57.0,4.67,4.71,2.87,6.372
269,0.8,Good,E,SI2,63.7,54.0,5.91,5.87,3.75,7.948
270,0.26,Ideal,D,VVS2,61.4,56.0,4.12,4.15,2.54,6.395
271,0.58,Ideal,G,VS1,60.1,55.0,5.44,5.4,3.26,7.512
272,1.24,Premium,D,SI1,59.3,60.0,7.05,7.01,4.16,8.751
273,0.3,Good,F,SI1,63.6,55.0,4.33,4.28,2.74,6.463
274,2.05,Ideal,H,VS2,61.6,57.0,8.2,8.14,5.03,9.834
275,0.33,Very Good,I,VVS1,58.9,61.0,4.52,4.55,2.67,6.412
276,0.9,Premium,I,SI1,60.9,56.0,6.26,6.21,3.8,7.989
277,0.3,Good,E,VS2,63.4,56.0,4.26,4.29,2.71,6.42
278,0.34,Ideal,E,SI1,62.2,54.0,4.5,4.47,2.79,6.571
279,2.51,Very Good,H,SI2,63.6,58.0,8.51,8.59,5.44,9.8
280,1.5,Premium,F,VS2,60.8,58.0,7.44,7.29,4.48,9.573
281,0.7,Fair,G,VS2,64.4,56.0,5.64,5.57,3.61,7.885
282,0.36,Very Good,D,VS2,64.0,56.0,4.49,4.51,2.88,6.632
283,0.42,Ideal,H,VVS2,61.1,56.0,4.8,4.85,2.95,6.813
284,0.9,Premium,G,SI2,62.1,58.0,6.13,6.08,3.79,8.085
285,1.08,Fair,E,SI1,53.8,63.0,6.99,6.81,3.71,8.474
286,1.7,Premium,G,VS2,60.9,60.0,7.71,7.68,4.69,9.688
287,0.41,Premium,G,VS2,61.8,59.0,4.76,4.72,2.93,6.967
288,0.91,Premium,H,VS2,61.0,59.0,6.32,6.27,3.84,8.326
289,0.31,Ideal,E,VS2,62.0,55.0,4.34,4.37,2.7,6.522
290,0.58,Ideal,I,VVS2,62.0,56.0,5.34,5.38,3.32,7.222
291,1.5,Premium,F,VS2,61.3,58.0,7.36,7.31,4.5,9.511
292,0.71,Ideal,E,VS2,61.0,55.0,5.79,5.75,3.52,7.96
293,1.01,Premium,F,SI1,59.8,60.0,6.57,6.53,3.92,8.584
294,0.43,Very Good,E,SI1,63.4,57.0,4.84,4.81,3.06,6.854
295,0.62,Fair,F,IF,60.1,61.0,5.53,5.56,3.33,7.959
296,0.35,Ideal,G,IF,62.6,57.0,4.51,4.53,2.82,6.887
297,0.9,Ideal,G,SI2,62.8,54.0,6.11,6.15,3.85,8.248
298,0.34,Ideal,I,SI1,61.9,56.0,4.47,4.5,2.77,6.151
299,0.9,Fair,D,VS2,57.5,66.0,6.3,6.25,3.61,8.277
300,0.72,Premium,G,VS2,62.3,57.0,5.74,5.69,3.56,7.844
301,1.12,Very Good,G,VS1,62.2,59.0,6.58,6.61,4.1,8.947
302,0.7,Very Good,E,SI2,59.6,63.0,5.76,5.71,3.42,7.745
303,0.38,Premium,D,VS1,62.4,59.0,4.63,4.6,2.88,7.039
304,0.23,Premium,H,VS1,59.4,61.0,4.05,4.0,2.39,6.073
305,1.01,Good,G,VVS2,63.2,59.0,6.34,6.38,4.02,8.926
306,0.5,Very Good,J,SI1,63.3,60.0,4.99,4.97,3.15,6.87
307,0.32,Ideal,F,VS2,62.5,56.0,4.37,4.4,2.74,6.469
308,0.7,Very Good,D,VS1,60.4,58.0,5.71,5.78,3.47,8.009
309,0.43,Very Good,F,VS2,61.6,59.0,4.78,4.87,2.97,6.808
310,0.6,Premium,F,VS1,59.4,58.0,5.52,5.45,3.26,7.669
311,1.7,Ideal,I,VS1,62.2,55.0,7.67,7.63,4.76,9.452
312,1.22,Ideal,E,VS1,61.8,56.0,6.84,6.88,4.24,9.289
313,1.6,Premium,E,SI1,61.2,58.0,7.59,7.5,4.62,9.13
314,0.28,Ideal,H,VVS1,62.0,55.0,4.17,4.22,2.6,6.373
315,0.72,Premium,G,SI2,59.1,61.0,5.89,5.85,3.47,7.475
316,0.32,Ideal,I,SI1,60.7,57.0,4.47,4.42,2.7,6.317
317,1.25,Very Good,H,VS2,60.3,54.0,7.0,7.03,4.23,8.911
318,0.74,Ideal,G,VS1,61.8,55.0,5.85,5.8,3.6,7.993
319,0.9,Fair,I,VVS1,63.5,57.0,5.98,6.09,3.83,8.341
320,0.43,Ideal,J,IF,62.4,56.0,4.87,4.84,3.03,6.859
321,0.23,Very Good,D,VVS2,59.6,61.0,3.99,4.03,2.39,6.213
322,0.5,Ideal,E,SI1,63.0,56.0,5.13,5.06,3.21,7.183
323,0.32,Ideal,E,VS1,59.5,57.0,4.49,4.45,2.66,6.736
324,0.59,Premium,F,SI1,62.4,59.0,5.37,5.33,3.34,7.353
325,0.7,Ideal,G,IF,61.3,56.0,5.72,5.73,3.51,8.281
326,1.01,Premium,G,VS1,60.7,58.0,6.49,6.52,3.95,8.844
327,0.5,Very Good,F,VVS1,61.1,55.0,5.14,5.18,3.15,7.66
328,0.52,Ideal,G,SI1,62.6,56.0,5.16,5.13,3.22,7.199
329,0.7,Premium,G,VVS1,61.2,56.0,5.75,5.68,3.5,8.041
330,0.43,Premium,D,VS2,60.2,59.0,4.88,4.92,2.95,6.962
331,1.07,Premium,D,SI2,62.4,61.0,6.51,6.48,4.05,8.507
332,0.71,Premium,G,VS1,62.2,59.0,5.73,5.66,3.54,7.946
333,1.22,Premium,F,VS2,62.0,58.0,6.89,6.86,4.26,9.075
334,0.34,Very Good,E,VS2,62.7,56.0,4.48,4.51,2.82,6.545
335,0.3,Ideal,F,IF,62.1,57.0,4.27,4.3,2.66,6.787
336,0.9,Very Good,F,VS1,61.5,55.0,6.25,6.28,3.85,8.55
337,0.29,Very Good,D,SI2,59.7,56.0,4.37,4.4,2.62,6.558
338,0.91,Very Good,J,SI1,62.8,59.0,6.14,6.19,3.87,7.992
339,1.5,Premium,E,SI2,61.0,58.0,7.35,7.3,4.47,9.154
340,1.2,Ideal,J,SI2,61.7,56.0,6.87,6.79,4.21,8.465
341,1.25,Ideal,G,IF,60.2,54.0,6.99,7.03,4.22,9.351
342,2.01,Premium,J,VS2,61.8,61.0,8.06,7.97,4.95,9.437
